IRIS_CODE;POPULATION_ACTIVE;Elèv.Etud.Stag.non_rémunérés_15-64_ans;Retraités_ou_Pré__15-64_ans;Autres_inactifs_15-64_ans;CSP+;CSP-;Actifs_occ_15_ans_ou_plus_voiture;Actifs_occ_15_ans_ou_plus_TC;0-2_ans;3-5_ans;6-10_ans;11-17_ans;18-24_ans;25-39_ans;40-54_ans;55-64_ans;65-79_ans;80_ans_et_+;Enseignement_sup;Sans_diplôme_ou_CEP_ou_BEPC;CAP_BEP_BAC_PRO;Men_1_personne_;Men_Autres_sans_famille_;Men_fam_princ_Couple_sans_enfant_;Men_fam_princ_Couple_avec_enfants_;Men_fam_princ_Famille_mono_;Fam_Couple_avec_enfants_;Fam_Monoparentales_;Fam_Couple_sans_enfant_
784980116;0.59;0.44;0.11;0.45;0.33;0.67;0.33;0.67;0.03;0;0.03;0.1;0.23;0.1;0.13;0.16;0.19;0.03;0.13;0.43;0.44;0.22;0;0.29;0.71;0;0.62;0.12;0.25
950180601;0.77;0.28;0.53;0.19;0.28;0.72;0.51;0.29;0.02;0;0.04;0.06;0.18;0.28;0.11;0.2;0.05;0.06;0.11;0.38;0.51;0.33;0;0.55;0.32;0.13;0.32;0.13;0.55
930140105;0.64;0.28;0.13;0.59;0.08;0.92;0.45;0.53;0.04;0.07;0.05;0.14;0.17;0.28;0.12;0.09;0.04;0.01;0.06;0.66;0.28;0.03;0;0.11;0.39;0.5;0.43;0.47;0.1
930010301;0.43;0.03;0;0.97;0.03;0.97;0;1;0;0;0;0.01;0.34;0.55;0.04;0;0.06;0;0.02;0.68;0.29;0;0;0;0;0;0;0;0
783610105;0.67;0.44;0.06;0.5;0.17;0.83;0.44;0.42;0.01;0.04;0.05;0.14;0.08;0.22;0.14;0.11;0.2;0.03;0.16;0.65;0.19;0.4;0;0.29;0.51;0.19;0.49;0.19;0.32
920360401;0.75;0.13;0.42;0.45;0.5;0.5;0.27;0.53;0.07;0.09;0.06;0.06;0.05;0.21;0.14;0.12;0.15;0.05;0.22;0.42;0.35;0.4;0.03;0.24;0.44;0.32;0.44;0.32;0.24
920480107;0.8;0.81;0;0.19;0.97;0.03;0.48;0.17;0.04;0.06;0.09;0.09;0.15;0.2;0.26;0.05;0.04;0.02;0.78;0.03;0.19;0.22;0;0.21;0.64;0.14;0.64;0.14;0.21
911740102;0.49;0.33;0.05;0.62;0.23;0.77;0.26;0.74;0.05;0.07;0.1;0.13;0.08;0.2;0.18;0.09;0.09;0.01;0.12;0.59;0.29;0.15;0.07;0.22;0.53;0.25;0.53;0.25;0.22
950180602;0.53;0.09;0.03;0.89;0.43;0.57;0.73;0.16;0.06;0.05;0.08;0.11;0.1;0.29;0.18;0.09;0.04;0;0.08;0.67;0.26;0.17;0.01;0.3;0.46;0.24;0.45;0.24;0.31
930140102;0.57;0.35;0.04;0.61;0.25;0.75;0.48;0.48;0.06;0.06;0.07;0.15;0.13;0.21;0.14;0.11;0.06;0.02;0.1;0.59;0.31;0.14;0.02;0.14;0.59;0.26;0.55;0.28;0.17
